"id","content","display_date"
"1","Der frühe Vogel fängt den Wurm, aber die zweite Maus bekommt den Käse.","2026-01-06"
"2","Ich bin nicht faul, ich bin im Energiesparmodus.","2026-01-07"
"3","Arbeit ist schön, deshalb lasse ich immer etwas für morgen übrig.","2026-01-08"
"4","Test für heute","2026-01-05"
"5","Test","2026-01-05"
"6","3 🕵️ dunkel 
Ich mache keine Fehler. Ich sammle Erfahrungen, die ich nicht haben wollte.
","2026-01-06"
"7","4 🧠 Wortwitz 
Ich habe meinen inneren Frieden gefunden. 
Er war im Flugmodus.
","2026-01-07"
"8","5 🎮 Gaming 
NPCs haben ein einfaches Leben. 
Sie wissen immer, was sie als Nächstes tun sollen.
","2026-01-08"
"9","6🌴 Reisen 
Der Faultier-Witz: 
Warum überqueren Faultiere in Costa Rica so langsam die Straße? 
Weil sie wissen, dass die Schlaglöcher sowieso schneller bei ihnen ankommen als sie am anderen Ende.","2026-01-09"
"10","7 📈 Wirtschaft 
Buy the dip. 
Sagte ich. 
Mehrmals.","2026-01-10"
"11","8 🕵️ dunkel 
Joel meinte, er sei heute nicht motiviert. 
Sein Chef nannte das „realistische Selbsteinschätzung“. 
Seitdem ist Joel Team-Lead.
","2026-01-12"
"12","9 🤓 IT 
„Geht bei euch das System?“ fragt Susi. 
Benni schaut auf den Bildschirm. „Nein.“ 
Urs schaut auf sein Handy. „Bei mir schon.“ 
Joel sagt nichts. Er hat den Laptop neu gestartet.
 Zweimal.
","2026-01-13"
"13","10 🧱 Bau 
Man begann mit einer kleinen Reparatur. 
Jetzt ist die Wand offen, der Boden auch und alle reden von „Chance zur Optimierung“.","2026-01-14"
"14","11 🙂 Büro 
Es gibt Tage, da arbeitet man konzentriert. 
Und Tage, da verteidigt man sich erfolgreich gegen neue Aufgaben.","2026-01-15"
"15","🔄 Scrum 
Die Definition of Done ist klar. 
Sehr klar. 
Bis jemand fragt, ob das wirklich dazugehört.
","2026-01-16"
"16","🐷 Tier 
Prinz Grunzi kam mit ins Büro. 
Niemand wusste warum. 
Aber plötzlich waren alle Pausen kürzer und der Kühlschrank leer.

","2026-01-19"
"17","🤓 IT 
„Einfach zurückrollen“, sagt Ulf. 
„Wohin?“ fragt Benni. 
Stille. 
„Zu gestern“, sagt Urs. 
Gestern war Feiertag.
","2026-01-20"
"18","🧠 Wortwitz 
Ich liebe klare Ziele. Besonders, wenn sie mich nicht betreffen.","2026-01-21"
"19","🌴 Reisen 
Ein Tourist schwimmt weit vor der Küste von Montego Bay. 
Plötzlich sieht er eine Rückenflosse auf sich zukommen und schreit panisch: 
„Hilfe, ein Hai! Er wird mich fressen!“ 
Ein jamaikanischer Fischer rudert entspannt vorbei und ruft: 
„Keine Sorge, Mann! Das ist ein jamaikanischer Hai. 
Der will nicht beißen, der will nur ein bisschen mitschwimmen und die Aussicht genießen!“
","2026-01-22"
"20","🙂 Büro 
Chef zum Angestellten: „Sagen Sie mal, warum kommen Sie erst jetzt zur Arbeit?“ Angestellter: „Weil ich heute Nacht von der Arbeit geträumt habe.“
Chef: „Und das ist eine Entschuldigung?“
Angestellter: „Sicher! Das war Überstunden-Schlaf!“
","2026-01-23"
"21","🔄 Scrum 
Das Daily dauert 15 Minuten. 
Offiziell. 
Inoffiziell lernen wir uns sehr gut kennen.","2026-01-26"
"22","🤓 IT / Büro 
Im Büro sagen alle: „Können wir das schnell fixen?“ 
Gemeint ist: Wir reden jetzt lange darüber und machen es später anders.
","2026-01-27"
"23","🎮 Gaming (Europa Universalis) 
In Europa Universalis denkt man: 
„Nur noch eine Runde.“ 
Drei Jahrhunderte später ist es sehr spät.","2026-01-28"
"24","🚢 Kreuzfahrt 
Der neue Kapitän: 
Ein Passagier fragt den Kapitän: 
„Wie weit sind wir vom Land entfernt?“ 
Kapitän: „Drei Kilometer.“ 
Passagier: „Oh, das ist ja gar nicht weit! In welche Richtung?“ 
Kapitän: „Senkrecht nach unten.“
","2026-01-29"
"25","🧱 Bau 
Der Handwerker sagte „zwei Tage“. 
Er meinte zwei Tage Arbeit. 
Verteilt auf drei Wochen.","2026-01-30"
"26","📈 Wirtschaft & Aktien 
Die Wirtschaft blickt optimistisch in die Zukunft. 
Welche genau, wird noch geklärt.
","2026-02-02"
"27","🙂 Büro 
Claude schickte eine E-Mail mit „Kurze Frage“. 
Drei Absätze, zwei Anhänge und ein Meeting folgten.","2026-02-03"
"28","🕵️ dunkel 
Ich bin nicht pessimistisch. Ich habe nur Erfahrung.
","2026-02-04"
